ROW_ID;ID;TITLE;ALT TITLE;RLS DATE;DURATION (MIN);DIRECTORS;ACTORS;CATEGORIES;ORIGIN;NB_SEASONS;NB_EPISODES;DESCRIPTION;IMAGE;KEYWORDS
201;6802;Rush Hour;ND;En cours;42 min;;;;États-Unis;1;13;"Lee, un flic stoïque et efficace venu de Hong Kong, se retrouve parachuté à Los Angeles pour une enquête et doit alors faire équipe avec Carter, un inspecteur de police afro-américain qui a une forte personnalité et qui refuse d'avoir un partenaire. Malgré leurs différences, ils vont vite devoir se rendre à l'évidence : ils forment une équipe du tonnerre. 

Série adaptée de la saga cinématographique d'action Rush Hour. 
http://www.dpstream.net/film.html#r-Rush%20hour";https://str01-m.dpstream.media/s/6802/188971.jpg-c_160_214_x-f_jpg-q_x-xxyxx-1462263080.jpg;Série Rush Hour streaming,Rush Hour dpstream, Série Rush Hour HD, Rush Hour streaming VF
202;6800;Resident Advisors;ND;En cours;30 min;Elizabeth Banks,  Max Handelman;Taylor John, Ryan Hansen, Jamie Chung;;États-Unis;1;7;Une comédie située dans le lieu le plus sur-chargé en hormones, sexuellement actif et hors de contrôle : le dortoir d'une fac.;https://str01-m.dpstream.media/s/6800/resident-advisors-1474882164.jpg;Série Resident Advisors streaming,Resident Advisors dpstream, Série Resident Advisors HD, Resident Advisors streaming VF
203;6799;The A Word;ND;En cours;60 min;Keren Margalit;Lee Ingleby, Morven Christie, Tommie Grabiec;;Royaume-Uni;1;6;La famille Hughes travaille, s'aime, se dispute comme n'importe quelle autre famille, jusqu'au jour où leur plus jeune fils est diagnostiqué comme étant autiste.;https://str01-m.dpstream.media/s/6799/the-a-word-1475048100.jpg;Série The A Word streaming,The A Word dpstream, Série The A Word HD, The A Word streaming VF
204;6798;Wynonna Earp;ND;En cours;42 min;;;;Canada, États-Unis;1;13;La chasseuse de primes Wynonna Earp n'a peur de rien : ni des criminels qu'elle pourchasse, ni des vampires qui sont à ses trousses...;https://str01-m.dpstream.media/s/6798/549155.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1464597999-1464621389.jpg;Série Wynonna Earp streaming,Wynonna Earp dpstream, Série Wynonna Earp HD, Wynonna Earp streaming VF
205;6797;Section Zéro;ND;En cours;52 min;Olivier Marchal,  Laurent Guillaume;Catherine Marchal, Ola Rapace, Hilde De;;France;1;8;En Europe, dans un futur proche, les Etats endettés ont renoncé à leur souveraineté au profit de multinationales, immenses agrégats économiques ultra-puissants. Parmi ces nouvelles 'sociétés titans', Prométhée, l'une des plus puissantes et dangereuses, ne cesse d'étendre son emprise sur la Fédération. Son but : remplacer la police par une milice privée, le Black Squad, dirigée par le dangereux Munro, et créer une armée d'hommes robotisés, les Mékas. Sirius, flic idéaliste, veut se battre pour empêcher la disparition du monde dans lequel il a vécu. Il va entrer en résistance et diriger un groupe d'élite, la Section Zéro, qui utilise tous les moyens, y compris l'illégalité et la violence. Derrière ce combat politique se joue également pour lui le combat d'un père et d'un mari pour retrouver les siens;https://str01-m.dpstream.media/s/6797/section-zéro-1474976396.jpg;Série Section Zéro streaming,Section Zéro dpstream, Série Section Zéro HD, Section Zéro streaming VF
206;6796;The Path;ND;En cours;50 min;Jason Katims,  Jessica Goldberg;Aaron Paul, Michelle Monaghan, Kyle Allen;;États-Unis;1;10;Une famille est plongée au coeur d'une secte nommée 'The Path', qui va chaque jour les confronter à des dilemmes moraux. Lorsqu'Eddie Cleary décide qu'il est temps pour lui de la quitter, quitte à faire voler son mariage en éclats, il se rend compte que cela lui est impossible sans mettre sa vie en danger...;https://str01-m.dpstream.media/s/6796/6796-1475054503.jpg;Série The Path streaming,The Path dpstream, Série The Path HD, The Path streaming VF
207;6795;The Ranch;ND;En cours;22 min;Don Reo,  Jim Patterson;Ashton Kutcher, Danny Masterson, Sammy Elliott;;États-Unis;1;20;Après une carrière honorable dans le football, un joueur à la retraite revient au ranch familial pour le gérer avec son frère...;https://str01-m.dpstream.media/s/6795/310412.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1467102160.jpg;Série The Ranch streaming,The Ranch dpstream, Série The Ranch HD, The Ranch streaming VF
208;6794;Tandem (2016);ND;En cours;52 min;Christophe Douchand;Astrid Veillon, Stéphane Blancafort, Pierick Tournier;;France;1;2;Le commandant Léa Soler et le capitaine Paul Marchal sont divorcés mais vont pourtant devoir faire équipe. Sans compter sur leurs ados, Alice et Thomas, qui les obligent aussi à se croiser en dehors du travail.;https://str01-m.dpstream.media/s/6794/avd1-1472988216.jpg;Série Tandem (2016) streaming,Tandem (2016) dpstream, Série Tandem (2016) HD, Tandem (2016) streaming VF
209;6793;Tandem (1989);ND;Terminée;30 min;Michelle Allen,  Normand Canac-Marquis,  Louise Roy;Daniel Brière, Jean-Pierre Bergeron, Geneviève Brouillette;;Canada;3;75;«Tandem» raconte les bouleversements que subissent les PME de Belmont lors d'une récession économique.;/img/no_movie.png;Série Tandem (1989) streaming,Tandem (1989) dpstream, Série Tandem (1989) HD, Tandem (1989) streaming VF
210;6792;Heartbeat;ND;En cours;42 min;Jill Gordon;Melissa George, Dave Annable, Shelley Conn;;États-Unis;1;13;Alex Panttiere est l'une des rares chirurgiennes à pratiquer la transplantation cardiaque. Mondialement reconnue pour son travail, elle cherche en permanence à repousser les limites de la science. Mais elle doit aussi gérer une vie personnelle pour le moins compliquée.;https://str01-m.dpstream.media/s/6792/heartbeat-1474468566.jpg;Série Heartbeat streaming,Heartbeat dpstream, Série Heartbeat HD, Heartbeat streaming VF
211;6791;Sam (2016);ND;En cours;52 min;Claire LeMaréchal;Mathilde Seigner, Fred Testot, Jean-Pierre Lorit;;France;1;6;"Sam est mère célibataire et professeur de français au collège. Ses élèves l'apprécient énormément pour sa franchise et ses idées politiquement incorrectes, mais ses actions provoquent de nombreuses plaintes et lindignation des parents... Et côté vie privée, rien n'est simple non plus. Sam a en effet du mal à gérer léducation de ses propres enfants, et le retour de sa mère, après vingt ans d'absence, ainsi que des retrouvailles avec son amour de jeunesse, vont venir tout chambouler...

Adaptée de la série danoise Rita.
http://www.dpstream.net/serie-6001-rita-2012.html";https://str01-m.dpstream.media/s/6791/sam-(2016)-1475048048.jpg;Série Sam (2016) streaming,Sam (2016) dpstream, Série Sam (2016) HD, Sam (2016) streaming VF
212;6790;Bridget & Eamon;ND;En cours;30 min;Jason Butler;Jennifer Maguire, Bernard O'Shea, Edwin Sammon;;Irlande;1;6;;https://str01-m.dpstream.media/s/6790/i160129_165216_4171513otexttrmrmmglpict000081383524o-1470997565.jpg;Série Bridget & Eamon streaming,Bridget & Eamon dpstream, Série Bridget & Eamon HD, Bridget & Eamon streaming VF
213;6789;Les Saintes chéries;ND;Terminée;26 min;Nicole de Buron;Micheline Presle;;France;3;39;Cette série met en scène les mésaventures ou petits tracas, traités sur un mode comique, d'un couple de Français moyens dans les années 1960, Ève et Pierre Lagarde.;https://str01-m.dpstream.media/s/6789/les-saintes-chéries-1475047962.jpg;Série Les Saintes chéries streaming,Les Saintes chéries dpstream, Série Les Saintes chéries HD, Les Saintes chéries streaming VF
214;6788;Match contre la vie;ND;Terminée;50 min;Roy Huggins;Ben Gazzara;;États-Unis;3;86;Paul Bryan (Ben Gazzara) apprend qu'il est atteint d'une maladie rare et incurable et qu'il lui reste environ 2 ans à vivre. Néanmoins, il garde espoir que la médecine découvre le remède... Dans le générique, Paul Bryan sort de l'hôpital et, en marchant, se répète : 'Deux ans, trois peut-être, c'est court quand la mort est au bout. Que faire pendant ces quelques mois ? Je n'ai pas de parents, pas de femme, pas d'enfants, alors ? Prendre la route. Partir loin, ailleurs !...';https://str01-m.dpstream.media/s/6788/match-contre-la-vie-1475047870.jpg;Série Match contre la vie streaming,Match contre la vie dpstream, Série Match contre la vie HD, Match contre la vie streaming VF
215;6787;Le Proscrit;ND;Terminée;30 min;Larry Cohen;Chuck Connors;;États-Unis;2;48;En 1880, le capitaine de cavalerie Jason McCord est renvoyé de l'armée américaine sur une accusation injustifiée de couardise et commence à voyager à travers le Far West, où il va vivre diverses aventures, devant sans cesse prouver que sa réputation de couard est injustifiée. Il finit par déjouer un complot au péril de sa vie, sauvant ceux-là même qui l'ont désavoué.;https://str01-m.dpstream.media/s/6787/le-proscrit-1475047752.jpg;Série Le Proscrit streaming,Le Proscrit dpstream, Série Le Proscrit HD, Le Proscrit streaming VF
216;6785;Jinny de mes rêves;ND;Terminée;26 min;Sidney Sheldon;Barbara Eden;;États-Unis;5;139;L'astronaute Anthony Nelson découvre une bouteille au fond de laquelle vit un génie qui n'est autre qu'une authentique princesse des Mille et Une Nuits, Jinny, âgée de 2000 ans. Aussitôt libérée, elle tombe amoureuse de l'astronaute qui l'emmène chez lui. Cela va rapidement être une source d'ennuis pour l'astronaute car il lui faut cacher à tous lexistence de Jinny;https://str01-m.dpstream.media/s/6785/jinny-de-mes-rêves-1475047646.jpg;Série Jinny de mes rêves streaming,Jinny de mes rêves dpstream, Série Jinny de mes rêves HD, Jinny de mes rêves streaming VF
217;6784;La Grande Vallée;ND;Terminée;52 min;A.I. Bezzerides Louis F. Edelman;;;États-Unis;4;112;Cette série met en scène la saga de la famille Barkley, à Stockton en Californie à la fin du XIXe siècle. Victoria Barkley, veuve énergique, dirige un ranch avec l'aide de ses trois fils, de sa fille et du fils illégitime, métis, de son époux.;https://str01-m.dpstream.media/s/6784/la-grande-vallée-1475047558.jpg;Série La Grande Vallée streaming,La Grande Vallée dpstream, Série La Grande Vallée HD, La Grande Vallée streaming VF
218;6783;Fontcouverte;ND;Terminée;13 min;;;;France;1;52;Foncouverte est un petit village du sud de la France dont la dernière source est tarie. Tous les habitants quittent le village à l'exception de Balthazar et de sa fille Blanchette qui veulent le sauver de l'abandon et de l'oubli.;https://str01-m.dpstream.media/s/6783/fontcouverte-1475047438.jpg;Série Fontcouverte streaming,Fontcouverte dpstream, Série Fontcouverte HD, Fontcouverte streaming VF
219;6782;Les Espions;ND;Terminée;55 min;Sheldon Leonard;Bill Cosby, Robert Culp;;États-Unis;3;82;Cette série met en scène deux agents de la CIA, Kelly Robinson et Alexander Scott. Sous la couverture d'un joueur de tennis et de son entraîneur, ils parcourent le monde au fil de leurs missions. Scott devient un prénom dans la conversation entre les deux amis.;https://str01-m.dpstream.media/s/6782/i-spy-1475047357.jpg;Série Les Espions streaming,Les Espions dpstream, Série Les Espions HD, Les Espions streaming VF
220;6781;Les Complices de l'aube;ND;Terminée;ND;;;;France;1;9;«Enquêtes du commissaire Gilles» d'après le roman de Jacques Decrest paru en 1955.;https://str01-m.dpstream.media/s/6781/les-complices-de-l'aube-1475046960.jpg;Série Les Complices de l'aube streaming,Les Complices de l'aube dpstream, Série Les Complices de l'aube HD, Les Complices de l'aube streaming VF
221;6780;Captain Nice;ND;Terminée;25 min;Buck Henry;William Daniels;;États-Unis;1;15;Surfant sur la mode des super-héros kitchs des années 1960, cette série raconte l'histoire de Carter Nash (William Daniels), un fils à maman chimiste pour la police qui décrouvre une potion magique qui va le transformer en Captain Nice. Captain Nice pourchasse les méchants en étant habillé en pyjama cousu par sa mère. Le nom 'Captain Nice' provient des initiales gravées sur la ceinture de Carter Nash: 'CN.' Captain Nice peut voler, mais il a le vertige. Carter a une petite amie au commissariat: le Sergent Candy Kane. Candy est une simple contractuelle, mais Carter et Captain Nice ne sont pas insensibles à son charme.;https://str01-m.dpstream.media/s/6780/captain-nice-1475046761.jpg;Série Captain Nice streaming,Captain Nice dpstream, Série Captain Nice HD, Captain Nice streaming VF
222;6779;Bob Morane (1965);ND;Terminée;26 min;;;;France;2;26;Cette série met en scène les aventures de Bob Morane, l'homme aux « quarante victoires aériennes », à la fois journaliste, ingénieur, expert dans le maniement des armes et les arts martiaux, qui lutte, souvent avec l'aide de son grand ami Bill Ballantine, a la défense chevaleresque d'une victime en confrontant les dictatures, les dangereux mégalomanes et les sociétés secrètes à travers le monde et occasionnellement, le Temps.;https://str01-m.dpstream.media/s/6779/bob-morane-(1965)-1474973783.jpg;Série Bob Morane (1965) streaming,Bob Morane (1965) dpstream, Série Bob Morane (1965) HD, Bob Morane (1965) streaming VF
223;6778;The Catch (2016);ND;En cours;42 min;Jennifer Schuur,  Helen Gregory,  Kate Atkinson;Mireille Enos, Peter Krause, Sonya Walger;;États-Unis;1;10;Alice Martin, dont le travail consiste à enquêter sur les fraudes, est sur le point de se marier. Lorsqu'elle découvre que son fiancé est en réalité un escroc particulièrement habile qui a fait d'elle sa dernière victime, elle décide de tout mettre en oeuvre pour le retrouver. Un dangereux jeu du chat et de la souris commence alors...;https://str01-m.dpstream.media/s/6778/the-catch-(2016)-1475152325.jpg;Série The Catch (2016) streaming,The Catch (2016) dpstream, Série The Catch (2016) HD, The Catch (2016) streaming VF
224;6777;Houdini & Doyle;ND;En cours;42 min;David Shore,  David Titcher,  David Hoselton;Stephen Mangan, Michael Weston, Rebecca Liddiard;;États-Unis;1;10;L'amitié entre le romancier Sir Arthur Conan Doyle et le magicien Harry Houdini.;https://str01-m.dpstream.media/s/6777/houdini-&-doyle-1474971156.jpg;Série Houdini & Doyle streaming,Houdini & Doyle dpstream, Série Houdini & Doyle HD, Houdini & Doyle streaming VF
225;6776;Murder (2016);ND;En cours;ND;Paul Wright,  Iain Forsyth,  Jane Pollard,  Birger Larsen;Morven Christie, Peter McDonald, Frank Gilhooley, Shauna Macdonald;;Royaume-Uni;1;4;Lorsque le corps de Rafe Cary est retrouvé au bord de la Tweed, tout laisse croire qu'il s'est noyé par accident. La détective Corinne Evans découvre qu'il a été tué et son frère Léo devient le suspect principal dans cette affaire qui se complique encore plus quand un temoin dit avoir entendu trois vo;https://str01-m.dpstream.media/s/6776/murder-(2016)-1475046708.jpg;Série Murder (2016) streaming,Murder (2016) dpstream, Série Murder (2016) HD, Murder (2016) streaming VF
226;6775;Lebowitz contre Lebowitz;ND;En cours;52 min;Laurent Burtin,  Nathalie Suhard,  Jacques Bastier;Clémentine Célarié, Michel Jonasz, Caroline Anglade;;France;1;8;Paule est une brillante avocate de 50 ans qui a consacré sa vie au cabinet quelle a créé avec son ex-­mari, Simon Lebowitz. Sa vie bascule le jour où elle découvre que Simon sest secrètement remarié avec Irène, une associée de 20 ans sa cadette, quelle avait elle-­même recrutée. Et lorsque Simon meurt brutalement dune crise cardiaque, Paule et Irène se retrouvent inéluctablement liées pour diriger le cabinet Lebowitz. Deux rivales de taille. Un crêpage de chignon en bonne et due forme pour obtenir leur part de lhéritage de Simon.;https://str01-m.dpstream.media/s/6775/lebowitz-contre-lebowitz-1475044272.jpg;Série Lebowitz contre Lebowitz streaming,Lebowitz contre Lebowitz dpstream, Série Lebowitz contre Lebowitz HD, Lebowitz contre Lebowitz streaming VF
227;6774;Les Fous du volant (Wacky Races);ND;Terminée;11 min;William Hanna,  Joseph Barbera;;;États-Unis;1;34;"Onze bolides participent à des courses déjantées. Malgré les tentatives réitérées des concurrents pour l'emporter de manière malhonnête, en jouant de mauvais tours aux adversaires, Satanas et son chien Diabolo, les personnages principaux, se font systématiquement prendre à leur propre jeu.

-- Titre original : Wacky Races --";https://str01-m.dpstream.media/s/6774/les-fous-du-volant-(wacky-races)-1475044024.jpg;Série Les Fous du volant (Wacky Races) streaming,Les Fous du volant (Wacky Races) dpstream, Série Les Fous du volant (Wacky Races) HD, Les Fous du volant (Wacky Races) streaming VF
228;6773;Chasseurs d'Ovnis (Chasing UFOs);ND;Terminée;60 min;;Ben McGee, Erin Ryder, James Fox;;États-Unis;1;8;"Une équipe d'enquêteurs formés vise à découvrir la vérité sur les ovnis. 
Le principe consiste à envoyer une équipe enquêter sur les lieux où des observations sont répertoriées.

Liste officielle des épisodes
- 01 x 01 - 20120629-Dans le ciel du Texas (Texas is for Sightings)
- 01 x 02 - 20120629-Secret Défense (Dirty Secrets)
- 01 x 03 - 20120706-Au pays des Cowboys  (Alien Cowboys)
- 01 x 04 - 20120713-Zone d'atterissage (UFO Landing Zone?)
- 01 x 05 - 20120720-Les Lumières de Phoenix  (Abducted in Arizona)
- 01 x 06 - 20120803-La guerre des missiles (Game of Drones)
- 01 x 07 - 20120810-Des aliens dans la jungle (Alien Castaways)
- 01 x 08 - 20120817-La petite créature (Alien Baby Farm)";https://str01-m.dpstream.media/s/6773/chasing-ufos-1473850359.jpg;Série Chasseurs d'Ovnis (Chasing UFOs) streaming,Chasseurs d'Ovnis (Chasing UFOs) dpstream, Série Chasseurs d'Ovnis (Chasing UFOs) HD, Chasseurs d'Ovnis (Chasing UFOs) streaming VF
229;6772;Criminal Minds : Beyond Borders;ND;En cours;42 min;Erica Messer;Daniel Henney, Alana De, Gary Sinise;;États-Unis;1;13;Une équipe d'enquêteurs travaillant au sein d'une division internationale du FBI vient en aide aux citoyens américains qui se trouvent en danger à l'étranger.;https://str01-m.dpstream.media/s/6772/criminal-minds-1474966249.jpg;Série Criminal Minds : Beyond Borders streaming,Criminal Minds : Beyond Borders dpstream, Série Criminal Minds : Beyond Borders HD, Criminal Minds : Beyond Borders streaming VF
230;6771;Underground;ND;En cours;42 min;Joe Pokaski;Aldis Hodge, Jurnee Smollett-Bell, Christopher Meloni;;États-Unis;1;10;Dans lespoir de trouver la liberté malgré la perspective dun avenir guère glorieux de lautre côté, un groupe d'esclaves dune plantation de Géorgie fait preuve dingéniosité, de courage et de persévérance pour tenter la plus grande évasion de l'histoire. Leurs rêves démancipation se réaliseront-ils ? Noah (Aldis Hodge), un habile forgeron, essaie de rassembler ses pairs pour échafauder un plan dévasion audacieux et risqué. Leur liberté se trouve à près de 1 000 kilomètres. Une distance énorme à parcourir avec des chances de succès très minces et de nombreux dangers et obstacles à prévoir sur leur chemin;https://str01-m.dpstream.media/s/6771/underground-1474976817.jpg;Série Underground streaming,Underground dpstream, Série Underground HD, Underground streaming VF
231;6770;Teen Titans Go!;ND;Terminée;22 min;Michael Jelenic,  Aaron Horvath;Hynden Walch, Scott Menville, Khary Payton;;États-Unis;3;156;"Robin, Cyborg, Starfire, Raven et Changelin, alias les Teen Titans, sont des adolescents à priori sans histoires, sauf quils ont pour hobby de sauver le monde !

Info : Teen Titans Go! est une série d'animation inspirée de l'équipe de superhéros créée par DC Comics, les Teen Titans. La série est annoncée à la suite du pic de popularité des courts-métrages des New Teen Titans.
Teen Titans Go! est une série comique de la franchise DC Comics";https://str01-m.dpstream.media/s/6770/teen-titans-go!-1474970956.jpg;Série Teen Titans Go! streaming,Teen Titans Go! dpstream, Série Teen Titans Go! HD, Teen Titans Go! streaming VF
232;6769;Slasher;ND;En cours;42 min;Aaron Martin;Katie McGrath, Brandon Jay, Wendy Crewson;;États-Unis;1;8;Sarah Bennet retourne dans la petite ville de son enfance, où ses parents ont été sauvagement assassinés. Très vite, une série de meurtres du même acabit se propage et les secrets enfouis depuis longtemps refont surface. Les proches de la jeune femme deviennent tour à tour des suspects ou des victimes, tant et si bien quelle en vient à douter de tous ceux qui lentourent... y compris sa famille.;https://str01-m.dpstream.media/s/6769/slasher-56dc94fed38e3-1473938515.jpg;Série Slasher streaming,Slasher dpstream, Série Slasher HD, Slasher streaming VF
233;6768;Horace and Pete;ND;En cours;67 min;Louis C.K.;Edie Falco, Louis C.K., Steve Buscemi;;États-Unis;1;1;La succession douloureuse dun bistrot miteux et emblématique de Brooklyn, Horace and Pete. Fondé en 1916 et légué de pères en fils et doncles en cousins, ce bar à lancienne refuse les téléphones portables, ne sert pas de cocktails et fout à la porte les hipsters du Williamsburg voisin.;https://str01-m.dpstream.media/s/6768/horace-and-pete-1474970068.jpg;Série Horace and Pete streaming,Horace and Pete dpstream, Série Horace and Pete HD, Horace and Pete streaming VF
234;6767;The Aliens;ND;En cours;60 min;;;;Royaume-Uni;1;2;"Les extraterrestres sont arrivés sur Terre il y a quarante ans, avant dêtre enfermés dans un ghetto appelé Troy.
Ils y vivent de trafics, de prostitution et de toutes les activités généralement associées au crime organisé. Ces extraterrestres ressemblent exactement aux humains, à un détail près : leurs cheveux sont hautement hallucinogènes lorsquon les fume. Ils se figent dès quun sifflement retentit et se défoncent aux pastilles pour lave-vaisselle.";https://str01-m.dpstream.media/s/6767/the-aliens-1474966396.jpg;Série The Aliens streaming,The Aliens dpstream, Série The Aliens HD, The Aliens streaming VF
235;6766;Flaked;ND;En cours;30 min;Will Arnett,  Mark Chappell;Will Arnett, David Sullivan, Ruth Kearney;;États-Unis;1;8;Un gourou auto-proclamé  tombe amoureux de la femme de son meilleur ami.;https://str01-m.dpstream.media/s/6766/428545-1475061053.jpg;Série Flaked streaming,Flaked dpstream, Série Flaked HD, Flaked streaming VF
236;6765;Aventures dans le monde perdu de Sir Conan Doyle;ND;Terminée;22 min;;;;Canada, France;1;26;"D'après le roman de Sir Arthur Conan Doyle :

Le professeur Challenger veut prouver l'impossible, l'existence d'un monde préhistorique. Il amène avec lui Margueritte Krux, Ned Malone, un reporter qui cherche un gros article, Lord John Roxton, un chasseur professionnel et le professeur Summerlee, un grand botaniste. Mais au cours de l'expédition il y a un accident avec leur montgolfière et ils se retrouvent coincés dans ce monde perdu. Puis ils rencontrent Veronica, une jeune femme qui vit sur le plateau depuis qu'elle a 9 ans...elle recherche toujours ses parents et a réussi à survivre jusque-là!

Guide des épisodes sur
https://fr.wikipedia.org/wiki/Aventures_dans_le_monde_perdu_de_Sir_Conan_Doyle";https://str01-m.dpstream.media/s/6765/aventures-dans-le-monde-perdu-de-sir-conan-doyle-1474971528.jpg;Série Aventures dans le monde perdu de Sir Conan Doyle streaming,Aventures dans le monde perdu de Sir Conan Doyle dpstream, Série Aventures dans le monde perdu de Sir Conan Doyle HD, Aventures dans le monde perdu de Sir Conan Doyle streaming VF
237;6764;Of Kings and Prophets;ND;En cours;42 min;Adam Cooper,  Bill Collage;Ray Winstone, Oliver Rix, Mohammad Bakri;;États-Unis;1;13;La saga Biblique du règne du premier roi d'Israël, Saul, de sa chute à la montée en puissance de son successeur, David, un berger, raconté par le prophète Samuel. Vivre dans le pays du miel et du lait n'est pas facile quand on est entouré d'ennemis de toutes parts...;https://str01-m.dpstream.media/s/6764/of-kings-1473925560.jpg;Série Of Kings and Prophets streaming,Of Kings and Prophets dpstream, Série Of Kings and Prophets HD, Of Kings and Prophets streaming VF
238;6763;Dossiers Criminels;ND;En cours;50 min;;;;France;1;13;Disparitions, investigations, traques policières, fugitifs insaisissables, éléments denquête troublants et justice parfois impuissante, comment remonter le fil daffaires traumatisantes pour faire éclater la vérité ? Afin de décrypter des faits divers ayant fait la une des journaux, chaque film de la collection DOSSIERS CRIMINELS lève le voile sur une enquête précise en partant à la rencontre de celles et ceux qui les ont vécues de lintérieur, en interrogeant des proches de victimes, des policiers, des avocats et des experts judiciaires. Une plongée dans ces affaires qui ont choqué lopinion publique riche de témoignages, dimages darchives et de reconstitutions.;https://str01-m.dpstream.media/s/6763/dossiers-criminels-1473924482.jpg;Série Dossiers Criminels streaming,Dossiers Criminels dpstream, Série Dossiers Criminels HD, Dossiers Criminels streaming VF
239;6762;Damien;ND;En cours;42 min;Glen Mazzara;Bradley James, Barbara Hershey, Megalyn Echikunwoke;;États-Unis;1;6;Damien Thorn a 30 ans, ancien photographe de guerre, il a oublié son passé satanique. Quand celui-ci ressurgi, une seule question se pose : Damien va t-il embrasser sa destinée et devenir lAntéchrist ?;https://str01-m.dpstream.media/s/6762/damien-saison-1-affiche-full-serie-1473928664.jpg;Série Damien streaming,Damien dpstream, Série Damien HD, Damien streaming VF
240;6761;The Real O'Neals;ND;En cours;22 min;David Windsor,  Casey Johnson,  Joshua Sternin;Martha Plimpton, Jay R., Noah Galvin;;États-Unis;1;12;"La parfaite petite vie d'une famille modèle est perturbée par la révélation de l'homosexualité du petit dernier. Ce qui ressemble à la fin d'une parenthèse enchantée est en réalité le début d'un nouveau chapitre, plus heureux...

Une comédie plus ou moins inspirée de la vraie vie du chroniqueur Dan Savage...";https://str01-m.dpstream.media/s/6761/the-real-o'neals-1473850641.jpg;Série The Real O'Neals streaming,The Real O'Neals dpstream, Série The Real O'Neals HD, The Real O'Neals streaming VF
241;6760;The Family;ND;En cours;42 min;Jenna Bans;Joan Allen, Alison Pill, Margot Bingham;;États-Unis;1;13;Plus de dix ans après sa mort présumée, le fils d'une femme politique refait surface. Alors qu'il tente de retrouver ses marques au sein de sa famille, le bonheur de son retour laisse peu à peu place à la suspicion. Est-il vraiment qui il prétend être ?;https://str01-m.dpstream.media/s/6760/the-family-1474976566.jpg;Série The Family streaming,The Family dpstream, Série The Family HD, The Family streaming VF
242;6759;Hap and Leonard;ND;En cours;52 min;Jim Mickle,  Nick Damici;James Purefoy, Christina Hendricks, Michael K.;;États-Unis;1;6;Dans le Texas de la fin des années 80, Hap et Leonard, deux potes fauchés, acceptent une combine pour trouver un butin qui les rendra riches. Le plan ne va pas se dérouler comme prévu et les deux hommes devront faire face à des personnages plus excentriques les uns que les autres.;https://str01-m.dpstream.media/s/6759/hap-and-leonard-1474976354.jpg;Série Hap and Leonard streaming,Hap and Leonard dpstream, Série Hap and Leonard HD, Hap and Leonard streaming VF
243;6758;Wanted (2016);ND;En cours;ND;Rebecca Gibney,  Richard Bell;Rebecca Gibney, Geraldine Hakewill, Stephen Peacocke, Ryan Corr, Nicholas Bell;;Australie;1;4;Deux parfaites inconnues, Lola et Chelsea, prennent part à un carjacking fatal, alors qu'elles sont en train d'attendre à l'arrêt de bus. Elles sont alors prises en chasse par les autorités locales au travers toute l'Australie, leur véhicule étant rempli de cash... Au cours de cette course-poursuite, elles ne pourront compter que l'une sur l'autre...;https://str01-m.dpstream.media/s/6758/wanted-(2016)-1474976287.jpg;Série Wanted (2016) streaming,Wanted (2016) dpstream, Série Wanted (2016) HD, Wanted (2016) streaming VF
244;6757;Vétérinaires, leur vie en direct;ND;En cours;53 min;Antoine Baldassari;;;France;1;10;Vétérinaires, leur vie en direct : un même univers filmé dans trois villes de France en simultané pendant un mois. Il est consacré au quotidien des personnels soignants et aux histoires parfois surprenantes qui surviennent. Des aventures humaines passionnantes, des destins qui se croisent et des histoires d'animaux. Des enjeux forts et de l'émotion.;https://str01-m.dpstream.media/s/6757/vétérinaires,-leur-vie-en-direct-1474976251.jpg;Série Vétérinaires, leur vie en direct streaming,Vétérinaires, leur vie en direct dpstream, Série Vétérinaires, leur vie en direct HD, Vétérinaires, leur vie en direct streaming VF
